,dates,finalBalance,perfVSUSD,holdPercentage,vsHoldPercentage,bestTrade,worstTrade,drawDown,taxes,totalTrades,totalGoodTrades,totalBadTrades,winRateRatio,tradesPerformance,averagePercentagePositivTrades,averagePercentageNegativTrades,startingBalance,cci,pvo,willr,kama,ao,sp,psar,atr,adx,aroon,keltner,boll,stochrsi,macd,kst,vol,trix,emad,ema,hichi
89,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],620.88,-37.9,-49.4,22.73,0.0,-10.5,37.9,2.94,10.0,0.0,10.0,0.0,-4.55,0.0,-4.55,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
96,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],619.86,-38.0,-49.4,22.53,0.0,-10.5,38.0,2.93,10.0,0.0,10.0,0.0,-4.57,0.0,-4.57,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
62,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],619.52,-38.03,-49.4,22.46,20.22,-6.21,50.13,21.24,97.0,24.0,73.0,24.74,-0.43,2.8,-1.49,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
288,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],619.46,-38.04,-49.4,22.45,0.0,-10.31,38.04,2.81,9.0,0.0,9.0,0.0,-5.09,0.0,-5.09,1000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
392,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],619.44,-38.04,-49.4,22.44,0.0,-10.26,38.04,2.7,9.0,0.0,9.0,0.0,-5.09,0.0,-5.09,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
34,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],619.06,-38.08,-49.4,22.37,0.0,-9.39,38.08,2.68,9.0,0.0,9.0,0.0,-5.11,0.0,-5.11,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
439,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.93,-38.09,-49.4,22.34,14.24,-4.73,42.34,24.83,105.0,28.0,77.0,26.67,-0.41,2.13,-1.33,1000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
315,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.78,-38.11,-49.4,22.31,21.34,-6.27,49.28,18.68,83.0,20.0,63.0,24.1,-0.5,3.19,-1.67,1000,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
23,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.71,-38.11,-49.4,22.3,0.0,-9.49,38.11,2.69,9.0,0.0,9.0,0.0,-5.11,0.0,-5.11,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
852,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.69,-38.12,-49.4,22.3,9.68,-5.25,45.38,44.2,194.0,59.0,135.0,30.41,-0.2,2.0,-1.17,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
7,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],618.06,-38.18,-49.4,22.17,0.0,-9.49,38.18,2.69,9.0,0.0,9.0,0.0,-5.12,0.0,-5.12,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
698,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],617.77,-38.21,-49.4,22.12,0.0,-10.72,38.21,2.74,9.0,0.0,9.0,0.0,-5.1,0.0,-5.1,1000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
940,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],617.39,-38.25,-49.4,22.04,9.77,-5.52,43.16,28.03,122.0,32.0,90.0,26.23,-0.34,2.62,-1.39,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
590,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],617.03,-38.28,-49.4,21.97,0.27,-10.01,38.28,3.06,10.0,1.0,9.0,10.0,-4.61,0.27,-5.15,1000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
937,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],616.55,-38.33,-49.4,21.87,0.0,-10.36,38.33,2.71,9.0,0.0,9.0,0.0,-5.12,0.0,-5.12,1000,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
615,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],616.42,-38.34,-49.4,21.85,15.71,-6.42,47.47,49.58,213.0,79.0,134.0,37.09,-0.18,1.8,-1.34,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
407,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],616.01,-38.38,-49.4,21.77,0.0,-10.82,38.38,2.7,9.0,0.0,9.0,0.0,-5.14,0.0,-5.14,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
65,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],615.78,-38.41,-49.4,21.72,4.2,-13.86,48.41,7.99,31.0,17.0,14.0,54.84,-1.4,2.01,-5.54,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
988,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],615.49,-38.44,-49.4,21.66,0.0,-11.43,38.44,2.79,9.0,0.0,9.0,0.0,-5.16,0.0,-5.16,1000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
840,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],615.36,-38.45,-49.4,21.64,9.73,-8.19,40.74,39.59,170.0,64.0,106.0,37.65,-0.23,1.79,-1.46,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
823,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],614.63,-38.52,-49.4,21.49,0.0,-9.38,38.52,2.67,9.0,0.0,9.0,0.0,-5.18,0.0,-5.18,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
766,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],614.25,-38.56,-49.4,21.42,19.98,-9.23,49.26,21.68,100.0,22.0,78.0,22.0,-0.41,3.52,-1.52,1000,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
52,[2022-05-01 00:00:00] -> [2022-06-30 10:00:00],613.96,-38.59,-49.4,21.36,0.0,-10.87,38.59,3.02,10.0,0.0,10.0,0.0,-4.65,0.0,-4.65,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
